Date,RGBITR
2024-01-29,622.38
2024-01-30,621.42
2024-01-31,621.86
2024-02-01,621.27
2024-02-02,620.31
2024-02-05,620.05
2024-02-06,620.07
2024-02-07,620.22
2024-02-08,619.65
2024-02-09,618.97
2024-02-12,619.62
2024-02-13,619.98
2024-02-14,620.02
2024-02-15,618.47
2024-02-16,617.39
2024-02-19,616.3
2024-02-20,615.84
2024-02-21,615.19
2024-02-22,615.42
2024-02-26,616.19
2024-02-27,615.33
2024-02-28,615.49
2024-02-29,614.86
2024-03-01,615.45
2024-03-04,613.51
2024-03-05,611.53
2024-03-06,609.31
2024-03-07,608.26
2024-03-11,608.51
2024-03-12,608.35
2024-03-13,607.07
2024-03-14,605.5
2024-03-15,602.32
2024-03-18,599.98
2024-03-19,600.09
2024-03-20,598.93
2024-03-21,598.37
2024-03-22,599.68
2024-03-25,599.49
2024-03-26,600.2
2024-03-27,600.95
2024-03-28,602.38
2024-03-29,601.18
2024-04-01,600.88
2024-04-02,599.41
2024-04-03,599.98
2024-04-04,597.96
2024-04-05,597.15
2024-04-08,597.14
2024-04-09,597.29
2024-04-10,597.38
2024-04-11,595.65
2024-04-12,596.38
2024-04-15,598.71
2024-04-16,597.21
2024-04-17,597.89
2024-04-18,598.88
2024-04-19,601.6
2024-04-22,602.04
2024-04-23,600.94
2024-04-24,601.1
2024-04-25,600.85
2024-04-26,598.26
2024-04-27,597.65
2024-04-29,598.41
2024-04-30,598.33
2024-05-02,597.11
2024-05-03,596.26
2024-05-06,596.1
2024-05-07,596.02
2024-05-08,596.22
2024-05-10,596.93
2024-05-13,594.37
2024-05-14,590.42
2024-05-15,589.93
2024-05-16,590.71
2024-05-17,590.2
2024-05-20,589.43
2024-05-21,587.65
2024-05-22,585.49
2024-05-23,582.91
2024-05-24,579.57
2024-05-27,576.21
2024-05-28,576.82
2024-05-29,576.14
2024-05-30,573.87
2024-05-31,570.78
2024-06-03,570.37
2024-06-04,576.76
2024-06-05,576.44
2024-06-06,578.08
2024-06-07,579.42
2024-06-10,574.89
2024-06-11,574.26
2024-06-13,572.73
2024-06-14,573.7
2024-06-17,569.55
2024-06-18,567.15
2024-06-19,564.51
2024-06-20,560.5
2024-06-21,562.21
2024-06-24,563.85
2024-06-25,568.16
2024-06-26,573.22
2024-06-27,569.26
2024-06-28,571.34
2024-07-01,569.94
2024-07-02,570.21
2024-07-03,571.59
2024-07-04,570.74
2024-07-05,566.82
2024-07-08,566.56
2024-07-09,566.45
2024-07-10,564.75
2024-07-11,564.07
2024-07-12,563.64
2024-07-15,560.53
2024-07-16,556.76
2024-07-17,554.05
2024-07-18,556.95
2024-07-19,562.15
2024-07-22,564.57
2024-07-23,562.74
2024-07-24,562.5
2024-07-25,564.13
2024-07-26,558.83
2024-07-29,556.15
2024-07-30,557.6
2024-07-31,562.47
2024-08-01,567.9
2024-08-02,567.94
2024-08-05,566.78
2024-08-06,568.33
2024-08-07,571.9
2024-08-08,579.75
2024-08-09,580.95
2024-08-12,579.66
2024-08-13,580.81
2024-08-14,580.41
2024-08-15,575.45
2024-08-16,571.95
2024-08-19,572.35
2024-08-20,571.09
2024-08-21,570.15
2024-08-22,570.54
2024-08-23,567.46
2024-08-26,565.23
2024-08-27,566.56
2024-08-28,565.21
2024-08-29,564.9
2024-08-30,563.02
2024-09-02,561.28
2024-09-03,560.88
2024-09-04,563.84
2024-09-05,570.6
2024-09-06,572.61
2024-09-09,574.18
2024-09-10,573.85
2024-09-11,573.27
2024-09-12,568.31
2024-09-13,565.55
2024-09-16,566.86
2024-09-17,565.07
2024-09-18,561.4
2024-09-19,560.57
2024-09-20,560.82
2024-09-23,561.22
2024-09-24,562.4
2024-09-25,563.37
2024-09-26,563.06
2024-09-27,560.84
2024-09-30,559.41
2024-10-01,557.63
2024-10-02,556.39
2024-10-03,552.23
