Date,SU26238RMFS4
2022-08-17,84.5
2022-08-18,84.545
2022-08-19,84.419
2022-08-22,84.294
2022-08-23,84.235
2022-08-24,84.05
2022-08-25,84.35
2022-08-26,84.3
2022-08-29,84.171
2022-08-30,84.192
2022-08-31,83.811
2022-09-01,84.093
2022-09-02,84.0
2022-09-05,84.379
2022-09-06,84.45
2022-09-07,84.4
2022-09-08,83.9
2022-09-09,83.98
2022-09-12,84.398
2022-09-13,84.09
2022-09-14,84.153
2022-09-15,84.318
2022-09-16,83.4
2022-09-19,81.92
2022-09-20,78.472
2022-09-21,79.282
2022-09-22,77.34
2022-09-23,76.513
2022-09-26,74.251
2022-09-27,74.919
2022-09-28,73.3
2022-09-29,73.0
2022-09-30,72.543
2022-10-03,74.3
2022-10-04,74.935
2022-10-05,75.364
2022-10-06,75.984
2022-10-07,73.899
2022-10-10,74.597
2022-10-11,76.429
2022-10-12,76.0
2022-10-13,76.585
2022-10-14,76.689
2022-10-17,77.14
2022-10-18,76.781
2022-10-19,76.852
2022-10-20,77.405
2022-10-21,77.413
2022-10-24,77.599
2022-10-25,77.489
2022-10-26,77.686
2022-10-27,77.63
2022-10-28,77.508
2022-10-31,77.23
2022-11-01,77.388
2022-11-02,76.123
2022-11-03,76.0
2022-11-07,75.997
2022-11-08,75.192
2022-11-09,75.48
2022-11-10,75.899
2022-11-11,75.992
2022-11-14,75.793
2022-11-15,75.749
2022-11-16,77.3
2022-11-17,76.962
2022-11-18,77.086
2022-11-21,76.363
2022-11-22,76.201
2022-11-23,76.402
2022-11-24,76.75
2022-11-25,76.769
2022-11-28,76.592
2022-11-29,76.65
2022-11-30,76.921
2022-12-01,76.666
2022-12-02,76.447
2022-12-05,76.225
2022-12-06,76.323
2022-12-07,76.35
2022-12-08,76.548
2022-12-09,76.482
2022-12-12,76.565
2022-12-13,76.4
2022-12-14,76.44
2022-12-15,76.344
2022-12-16,76.225
2022-12-19,75.649
2022-12-20,75.634
2022-12-21,75.3
2022-12-22,75.779
2022-12-23,75.885
2022-12-26,75.918
2022-12-27,75.899
2022-12-28,75.882
2022-12-29,75.872
2022-12-30,76.335
2023-01-03,76.785
2023-01-04,76.799
2023-01-05,76.755
2023-01-06,76.721
2023-01-09,76.25
2023-01-10,75.902
2023-01-11,76.01
2023-01-12,75.941
2023-01-13,76.052
2023-01-16,76.1
2023-01-17,75.498
2023-01-18,75.398
2023-01-19,75.498
2023-01-20,75.255
2023-01-23,75.052
2023-01-24,74.906
2023-01-25,74.922
2023-01-26,75.036
2023-01-27,75.2
2023-01-30,75.239
2023-01-31,74.646
2023-02-01,74.6
2023-02-02,74.497
2023-02-03,74.298
2023-02-06,74.288
2023-02-07,74.4
2023-02-08,74.179
2023-02-09,74.093
2023-02-10,74.065
2023-02-13,73.522
2023-02-14,73.388
2023-02-15,73.052
2023-02-16,73.097
2023-02-17,72.999
2023-02-20,72.871
2023-02-21,72.943
2023-02-22,73.005
2023-02-24,73.199
2023-02-27,73.11
2023-02-28,72.961
2023-03-01,72.94
2023-03-02,72.96
2023-03-03,73.05
2023-03-06,73.4
2023-03-07,73.629
2023-03-09,73.4
2023-03-10,73.433
2023-03-13,73.449
2023-03-14,73.16
2023-03-15,73.13
2023-03-16,73.001
2023-03-17,73.149
2023-03-20,73.0
2023-03-21,73.38
2023-03-22,73.49
2023-03-23,73.722
2023-03-24,73.729
2023-03-27,73.744
2023-03-28,73.099
2023-03-29,73.0
2023-03-30,73.1
2023-03-31,73.041
2023-04-03,73.0
2023-04-04,72.959
2023-04-05,72.985
2023-04-06,72.76
2023-04-07,72.744
2023-04-10,72.68
2023-04-11,72.699
2023-04-12,72.51
2023-04-13,72.483
2023-04-14,72.474
2023-04-17,72.476
2023-04-18,72.805
2023-04-19,72.516
2023-04-20,72.484
2023-04-21,72.64
2023-04-24,72.88
2023-04-25,72.462
2023-04-26,72.556
2023-04-27,72.746
2023-04-28,72.882
2023-05-02,72.7
2023-05-03,72.5
2023-05-04,72.63
2023-05-05,72.8
2023-05-08,72.899
2023-05-10,72.887
2023-05-11,72.65
2023-05-12,72.828
2023-05-15,72.907
2023-05-16,72.7
2023-05-17,72.501
2023-05-18,72.7
2023-05-19,72.8
2023-05-22,72.704
2023-05-23,72.766
2023-05-24,72.765
2023-05-25,72.843
2023-05-26,72.802
2023-05-29,72.709
2023-05-30,72.546
2023-05-31,72.4
2023-06-01,72.389
2023-06-02,72.304
2023-06-05,72.2
2023-06-06,72.499
2023-06-07,72.43
2023-06-08,72.24
2023-06-09,72.215
2023-06-13,72.248
2023-06-14,72.215
2023-06-15,72.198
2023-06-16,72.111
2023-06-19,71.862
2023-06-20,71.54
2023-06-21,71.684
2023-06-22,71.678
2023-06-23,71.648
2023-06-26,71.337
2023-06-27,71.591
2023-06-28,71.51
2023-06-29,71.307
2023-06-30,71.317
2023-07-03,71.355
2023-07-04,71.199
2023-07-05,70.998
2023-07-06,70.899
2023-07-07,70.968
2023-07-10,70.849
2023-07-11,70.671
2023-07-12,70.569
2023-07-13,70.498
2023-07-14,70.681
2023-07-17,70.491
2023-07-18,70.368
2023-07-19,70.384
2023-07-20,70.308
2023-07-21,70.37
2023-07-24,70.39
2023-07-25,70.72
2023-07-26,70.8
2023-07-27,70.6
2023-07-28,70.58
2023-07-31,70.792
2023-08-01,70.497
2023-08-02,70.494
2023-08-03,70.35
2023-08-04,70.389
2023-08-07,70.298
2023-08-08,70.317
2023-08-09,70.15
2023-08-10,70.094
2023-08-11,70.096
2023-08-14,69.2
2023-08-15,69.718
2023-08-16,70.191
2023-08-17,70.505
2023-08-18,70.498
2023-08-21,70.395
2023-08-22,70.04
2023-08-23,69.69
2023-08-24,69.76
2023-08-25,69.668
2023-08-28,69.647
2023-08-29,69.496
2023-08-30,69.518
2023-08-31,69.53
2023-09-01,69.457
2023-09-04,69.48
2023-09-05,69.151
2023-09-06,68.2
2023-09-07,67.649
2023-09-08,67.18
2023-09-11,67.175
2023-09-12,68.374
2023-09-13,68.145
2023-09-14,67.67
2023-09-15,68.133
2023-09-18,68.133
2023-09-19,67.393
2023-09-20,67.25
2023-09-21,67.2
2023-09-22,67.145
2023-09-25,67.1
2023-09-26,67.035
2023-09-27,66.87
2023-09-28,66.506
2023-09-29,65.825
2023-10-02,65.514
2023-10-03,65.685
2023-10-04,65.319
2023-10-05,65.4
2023-10-06,65.377
2023-10-09,64.64
2023-10-10,64.45
2023-10-11,65.79
2023-10-12,64.99
2023-10-13,64.98
2023-10-16,65.51
2023-10-17,64.909
2023-10-18,64.55
2023-10-19,64.584
2023-10-20,64.62
2023-10-23,64.729
2023-10-24,64.62
2023-10-25,64.768
2023-10-26,64.521
2023-10-27,64.379
2023-10-30,63.79
2023-10-31,63.425
2023-11-01,64.495
2023-11-02,65.249
2023-11-03,66.7
2023-11-06,66.974
2023-11-07,66.052
2023-11-08,66.25
2023-11-09,67.3
2023-11-10,67.14
2023-11-13,66.943
2023-11-14,66.599
2023-11-15,66.97
2023-11-16,66.864
2023-11-17,67.087
2023-11-20,66.998
2023-11-21,66.93
2023-11-22,67.207
2023-11-23,67.38
2023-11-24,67.187
2023-11-27,67.013
2023-11-28,67.022
2023-11-29,67.172
2023-11-30,67.152
2023-12-01,66.916
2023-12-04,66.02
2023-12-05,65.96
2023-12-06,65.589
2023-12-07,65.343
2023-12-08,65.33
2023-12-11,64.901
2023-12-12,64.585
2023-12-13,64.35
2023-12-14,64.272
2023-12-15,64.993
2023-12-18,65.678
2023-12-19,66.136
2023-12-20,66.6
2023-12-21,66.779
2023-12-22,66.87
2023-12-25,66.993
2023-12-26,66.584
2023-12-27,66.479
2023-12-28,66.495
2023-12-29,66.4
2024-01-03,66.5
2024-01-04,66.727
2024-01-05,66.694
2024-01-08,66.498
2024-01-09,66.222
2024-01-10,65.897
2024-01-11,65.448
2024-01-12,65.1
2024-01-15,65.34
2024-01-16,65.371
2024-01-17,65.897
2024-01-18,66.25
2024-01-19,66.5
2024-01-22,66.6
2024-01-23,66.642
2024-01-24,66.53
2024-01-25,66.539
2024-01-26,66.683
2024-01-29,66.491
2024-01-30,66.565
2024-01-31,66.55
2024-02-01,66.449
2024-02-02,66.075
2024-02-05,66.158
2024-02-06,65.884
2024-02-07,65.927
2024-02-08,65.611
2024-02-09,65.6
2024-02-12,65.6
2024-02-13,65.52
2024-02-14,65.499
2024-02-15,65.299
2024-02-16,64.651
2024-02-19,64.7
2024-02-20,64.56
2024-02-21,64.533
2024-02-22,64.75
2024-02-26,64.735
2024-02-27,64.491
2024-02-28,64.411
2024-02-29,64.268
2024-03-01,64.235
2024-03-04,63.65
2024-03-05,63.046
2024-03-06,62.93
2024-03-07,62.646
2024-03-11,62.699
2024-03-12,62.467
2024-03-13,62.083
2024-03-14,61.781
2024-03-15,61.31
2024-03-18,60.726
2024-03-19,60.65
2024-03-20,60.414
2024-03-21,60.998
2024-03-22,60.227
2024-03-25,60.657
2024-03-26,60.39
2024-03-27,60.898
2024-03-28,60.72
2024-03-29,60.387
2024-04-01,60.045
2024-04-02,60.185
2024-04-03,59.976
2024-04-04,59.898
2024-04-05,59.422
2024-04-08,59.3
2024-04-09,59.429
2024-04-10,59.388
2024-04-11,58.89
2024-04-12,59.183
2024-04-15,59.183
2024-04-16,59.236
2024-04-17,59.855
2024-04-18,59.8
2024-04-19,60.85
2024-04-22,60.446
2024-04-23,60.197
2024-04-24,60.173
2024-04-25,60.091
2024-04-26,59.14
2024-04-27,59.346
2024-04-29,59.489
2024-04-30,59.358
2024-05-02,59.291
2024-05-03,58.801
2024-05-06,58.634
2024-05-07,58.695
2024-05-08,58.789
2024-05-10,58.91
2024-05-13,58.08
2024-05-14,57.56
2024-05-15,57.706
2024-05-16,57.652
2024-05-17,57.55
2024-05-20,57.288
2024-05-21,56.97
2024-05-22,56.9
2024-05-23,56.255
2024-05-24,55.82
2024-05-27,55.28
2024-05-28,55.647
2024-05-29,55.1
2024-05-30,54.499
2024-05-31,53.85
2024-06-03,54.391
2024-06-04,55.349
2024-06-05,55.629
2024-06-06,55.62
2024-06-07,55.596
2024-06-10,54.542
2024-06-11,54.837
2024-06-13,54.343
2024-06-14,54.345
2024-06-17,53.614
2024-06-18,52.982
2024-06-19,52.67
2024-06-20,52.8
2024-06-21,53.161
2024-06-24,53.447
2024-06-25,53.799
2024-06-26,53.7
2024-06-27,54.248
2024-06-28,53.87
2024-07-01,53.695
