Date,MRKP
2023-06-21,0.2399
2023-06-22,0.2448
2023-06-23,0.2411
2023-06-26,0.237
2023-06-27,0.2424
2023-06-28,0.2525
2023-06-29,0.2546
2023-06-30,0.2529
2023-07-03,0.268
2023-07-04,0.2861
2023-07-05,0.2842
2023-07-06,0.2776
2023-07-07,0.2814
2023-07-10,0.2778
2023-07-11,0.2874
2023-07-12,0.301
2023-07-13,0.301
2023-07-14,0.304
2023-07-17,0.3031
2023-07-18,0.3066
2023-07-19,0.3241
2023-07-20,0.325
2023-07-21,0.3206
2023-07-24,0.332
2023-07-25,0.343
2023-07-26,0.3396
2023-07-27,0.3485
2023-07-28,0.363
2023-07-31,0.3636
2023-08-01,0.3636
2023-08-02,0.3567
2023-08-03,0.3565
2023-08-04,0.3412
2023-08-07,0.346
2023-08-08,0.341
2023-08-09,0.349
2023-08-10,0.351
2023-08-11,0.3483
2023-08-14,0.3383
2023-08-15,0.3357
2023-08-16,0.3218
2023-08-17,0.3238
2023-08-18,0.3276
2023-08-21,0.334
2023-08-22,0.3548
2023-08-23,0.349
2023-08-24,0.351
2023-08-25,0.3502
2023-08-28,0.3579
2023-08-29,0.3556
2023-08-30,0.3718
2023-08-31,0.3856
2023-09-01,0.3779
2023-09-04,0.376
2023-09-05,0.3733
2023-09-06,0.3677
2023-09-07,0.3571
2023-09-08,0.3579
2023-09-11,0.3777
2023-09-12,0.3778
2023-09-13,0.3703
2023-09-14,0.35
2023-09-15,0.3566
2023-09-18,0.352
2023-09-19,0.3398
2023-09-20,0.3361
2023-09-21,0.3233
2023-09-22,0.3361
2023-09-25,0.3487
2023-09-26,0.3476
2023-09-27,0.3515
2023-09-28,0.3495
2023-09-29,0.3459
2023-10-02,0.3406
2023-10-03,0.3399
2023-10-04,0.3399
2023-10-05,0.3345
2023-10-06,0.3343
2023-10-09,0.3374
2023-10-10,0.3378
2023-10-11,0.3382
2023-10-12,0.3353
2023-10-13,0.3356
2023-10-16,0.3421
2023-10-17,0.3442
2023-10-18,0.3411
2023-10-19,0.3421
2023-10-20,0.3397
2023-10-23,0.3418
2023-10-24,0.3472
2023-10-25,0.3592
2023-10-26,0.3462
2023-10-27,0.3484
2023-10-30,0.3466
2023-10-31,0.3412
2023-11-01,0.3423
2023-11-02,0.34
2023-11-03,0.3363
2023-11-06,0.3396
2023-11-07,0.3396
2023-11-08,0.3416
2023-11-09,0.3358
2023-11-10,0.3348
2023-11-13,0.331
2023-11-14,0.3228
2023-11-15,0.3335
2023-11-16,0.3298
2023-11-17,0.3266
2023-11-20,0.3258
2023-11-21,0.323
2023-11-22,0.323
2023-11-23,0.3228
2023-11-24,0.3225
2023-11-27,0.317
2023-11-28,0.335
2023-11-29,0.334
2023-11-30,0.3305
2023-12-01,0.3271
2023-12-04,0.3138
2023-12-05,0.3132
2023-12-06,0.308
2023-12-07,0.3029
2023-12-08,0.3019
2023-12-11,0.3015
2023-12-12,0.304
2023-12-13,0.303
2023-12-14,0.301
2023-12-15,0.3055
2023-12-18,0.316
2023-12-19,0.321
2023-12-20,0.3198
2023-12-21,0.3139
2023-12-22,0.318
2023-12-25,0.3162
2023-12-26,0.3106
2023-12-27,0.3149
2023-12-28,0.3085
2023-12-29,0.3102
2024-01-03,0.3157
2024-01-04,0.3194
2024-01-05,0.3196
2024-01-08,0.3245
2024-01-09,0.3368
2024-01-10,0.342
2024-01-11,0.3339
2024-01-12,0.3381
2024-01-15,0.341
2024-01-16,0.3401
2024-01-17,0.3427
2024-01-18,0.3443
2024-01-19,0.3414
2024-01-22,0.3464
2024-01-23,0.3467
2024-01-24,0.3465
2024-01-25,0.3457
2024-01-26,0.3432
2024-01-29,0.342
2024-01-30,0.3392
2024-01-31,0.337
2024-02-01,0.3384
2024-02-02,0.3382
2024-02-05,0.3376
2024-02-06,0.338
2024-02-07,0.3496
2024-02-08,0.3426
2024-02-09,0.3416
2024-02-12,0.3397
2024-02-13,0.3439
2024-02-14,0.3442
2024-02-15,0.3443
2024-02-16,0.3407
2024-02-19,0.3392
2024-02-20,0.3318
2024-02-21,0.3238
2024-02-22,0.3225
2024-02-26,0.3293
2024-02-27,0.328
2024-02-28,0.3256
2024-02-29,0.3324
2024-03-01,0.3288
2024-03-04,0.3296
2024-03-05,0.3317
2024-03-06,0.3337
2024-03-07,0.3332
2024-03-11,0.3292
2024-03-12,0.3304
