Date,GMKN
2022-11-25,14632.0
2022-11-28,14570.0
2022-11-29,14464.0
2022-11-30,14384.0
2022-12-01,14650.0
2022-12-02,14484.0
2022-12-05,14824.0
2022-12-06,14718.0
2022-12-07,15038.0
2022-12-08,14886.0
2022-12-09,14940.0
2022-12-12,14760.0
2022-12-13,14924.0
2022-12-14,14718.0
2022-12-15,14280.0
2022-12-16,14498.0
2022-12-19,14652.0
2022-12-20,14816.0
2022-12-21,14870.0
2022-12-22,14958.0
2022-12-23,14904.0
2022-12-26,15050.0
2022-12-27,15282.0
2022-12-28,15140.0
2022-12-29,15242.0
2022-12-30,15300.0
2023-01-03,15520.0
2023-01-04,15574.0
2023-01-05,15340.0
2023-01-06,15438.0
2023-01-09,15370.0
2023-01-10,15324.0
2023-01-11,15410.0
2023-01-12,15440.0
2023-01-13,15334.0
2023-01-16,15488.0
2023-01-17,15294.0
2023-01-18,15316.0
2023-01-19,15200.0
2023-01-20,15154.0
2023-01-23,14980.0
2023-01-24,14776.0
2023-01-25,14882.0
2023-01-26,14800.0
2023-01-27,15032.0
2023-01-30,15150.0
2023-01-31,15144.0
2023-02-01,15258.0
2023-02-02,15164.0
2023-02-03,14990.0
2023-02-06,14942.0
2023-02-07,14960.0
2023-02-08,14852.0
2023-02-09,14918.0
2023-02-10,14840.0
2023-02-13,14892.0
2023-02-14,14760.0
2023-02-15,14500.0
2023-02-16,14398.0
2023-02-17,14478.0
2023-02-20,14540.0
2023-02-21,14710.0
2023-02-22,14474.0
2023-02-24,14390.0
2023-02-27,14578.0
2023-02-28,14498.0
2023-03-01,14734.0
2023-03-02,14510.0
2023-03-03,14562.0
2023-03-06,14560.0
2023-03-07,14676.0
2023-03-09,14586.0
2023-03-10,14576.0
2023-03-13,14554.0
2023-03-14,14556.0
2023-03-15,14464.0
2023-03-16,14442.0
2023-03-17,14560.0
2023-03-20,15044.0
2023-03-21,14864.0
2023-03-22,14970.0
2023-03-23,14932.0
2023-03-24,15080.0
2023-03-27,15184.0
2023-03-28,15186.0
2023-03-29,15084.0
2023-03-30,15024.0
2023-03-31,15010.0
2023-04-03,15084.0
2023-04-04,15214.0
2023-04-05,15200.0
2023-04-06,15380.0
2023-04-07,15430.0
2023-04-10,15500.0
2023-04-11,15360.0
2023-04-12,15404.0
2023-04-13,15404.0
2023-04-14,15786.0
2023-04-17,15900.0
2023-04-18,15908.0
2023-04-19,15918.0
2023-04-20,15802.0
2023-04-21,15798.0
2023-04-24,15700.0
2023-04-25,15538.0
2023-04-26,15330.0
2023-04-27,15370.0
2023-04-28,14572.0
2023-05-02,14542.0
2023-05-03,14440.0
2023-05-04,14470.0
2023-05-05,14352.0
2023-05-08,14218.0
2023-05-10,14604.0
2023-05-11,14476.0
2023-05-12,14544.0
2023-05-15,14768.0
2023-05-16,14762.0
2023-05-17,14778.0
2023-05-18,14736.0
2023-05-19,14730.0
2023-05-22,14602.0
2023-05-23,14648.0
2023-05-24,14696.0
2023-05-25,14562.0
2023-05-26,14670.0
2023-05-29,14654.0
2023-05-30,14574.0
2023-05-31,14580.0
2023-06-01,14576.0
2023-06-02,14782.0
2023-06-05,14764.0
2023-06-06,14644.0
2023-06-07,14628.0
2023-06-08,14738.0
2023-06-09,14840.0
2023-06-13,15094.0
2023-06-14,15052.0
2023-06-15,15286.0
2023-06-16,15362.0
2023-06-19,15510.0
2023-06-20,15332.0
2023-06-21,15306.0
2023-06-22,15178.0
2023-06-23,14988.0
2023-06-26,14862.0
2023-06-27,14842.0
2023-06-28,14934.0
2023-06-29,14882.0
2023-06-30,14726.0
2023-07-03,14702.0
2023-07-04,14744.0
2023-07-05,14868.0
2023-07-06,15162.0
2023-07-07,15080.0
2023-07-10,15264.0
2023-07-11,15302.0
2023-07-12,15454.0
2023-07-13,15540.0
2023-07-14,15504.0
2023-07-17,15774.0
2023-07-18,16336.0
2023-07-19,16546.0
2023-07-20,15904.0
2023-07-21,16082.0
2023-07-24,16126.0
2023-07-25,16260.0
2023-07-26,16170.0
2023-07-27,16190.0
2023-07-28,16236.0
