Date,PLZL
2022-08-02,8095.5
2022-08-03,7813.0
2022-08-04,7514.0
2022-08-05,7261.0
2022-08-08,7200.0
2022-08-09,7100.0
2022-08-10,7439.0
2022-08-11,7475.5
2022-08-12,7510.0
2022-08-15,7610.0
2022-08-16,7975.0
2022-08-17,7855.0
2022-08-18,7814.5
2022-08-19,7890.0
2022-08-22,7750.0
2022-08-23,7820.0
2022-08-24,7908.0
2022-08-25,8001.0
2022-08-26,8197.0
2022-08-29,8198.0
2022-08-30,8180.0
2022-08-31,8320.0
2022-09-01,8275.0
2022-09-02,8378.5
2022-09-05,8315.0
2022-09-06,8050.0
2022-09-07,7970.0
2022-09-08,7975.0
2022-09-09,8208.0
2022-09-12,8314.5
2022-09-13,8182.0
2022-09-14,8152.0
2022-09-15,8110.0
2022-09-16,8032.0
2022-09-19,8072.0
2022-09-20,7448.0
2022-09-21,7019.5
2022-09-22,6949.5
2022-09-23,6366.0
2022-09-26,5572.5
2022-09-27,5484.0
2022-09-28,5390.0
2022-09-29,5112.5
2022-09-30,5018.0
2022-10-03,5558.5
2022-10-04,5999.0
2022-10-05,5790.0
2022-10-06,5812.0
2022-10-07,5360.0
2022-10-10,5300.0
2022-10-11,5310.5
2022-10-12,5210.0
2022-10-13,5230.0
2022-10-14,5119.0
2022-10-17,5352.0
2022-10-18,5570.0
2022-10-19,5663.5
2022-10-20,5943.0
2022-10-21,6250.5
2022-10-24,6213.0
2022-10-25,6308.0
2022-10-26,6114.0
2022-10-27,6116.5
2022-10-28,6030.5
2022-10-31,6047.0
2022-11-01,6056.0
2022-11-02,5900.5
2022-11-03,5908.0
2022-11-07,6178.5
2022-11-08,6508.5
2022-11-09,6434.5
2022-11-10,6715.0
2022-11-11,6733.0
2022-11-14,6682.0
2022-11-15,6482.0
2022-11-16,6634.0
2022-11-17,6574.5
2022-11-18,6575.0
2022-11-21,6428.0
2022-11-22,6741.5
2022-11-23,7140.5
2022-11-24,7068.0
2022-11-25,7008.0
2022-11-28,7150.5
2022-11-29,7237.0
2022-11-30,7338.5
2022-12-01,7525.0
2022-12-02,7504.5
2022-12-05,7446.5
2022-12-06,7382.0
2022-12-07,7452.5
2022-12-08,7402.0
2022-12-09,7420.5
2022-12-12,7418.0
2022-12-13,7638.5
2022-12-14,7738.0
2022-12-15,7463.0
2022-12-16,7525.5
2022-12-19,7503.5
2022-12-20,7803.0
2022-12-21,7853.0
2022-12-22,7760.5
2022-12-23,7823.5
2022-12-26,7809.0
2022-12-27,7862.0
2022-12-28,7770.0
2022-12-29,7734.0
2022-12-30,7692.0
2023-01-03,7903.0
2023-01-04,8014.5
2023-01-05,7875.5
2023-01-06,7905.0
2023-01-09,7845.0
2023-01-10,7876.0
2023-01-11,7881.5
2023-01-12,7934.0
2023-01-13,8068.0
2023-01-16,8228.0
2023-01-17,8129.0
2023-01-18,8155.0
2023-01-19,8164.5
2023-01-20,8174.5
2023-01-23,8224.0
2023-01-24,8435.0
2023-01-25,8569.5
2023-01-26,8766.0
2023-01-27,8768.0
2023-01-30,9252.5
2023-01-31,9478.0
2023-02-01,9720.0
2023-02-02,9449.0
2023-02-03,9248.0
2023-02-06,9342.0
2023-02-07,9111.5
2023-02-08,9218.5
2023-02-09,9139.5
2023-02-10,9123.5
2023-02-13,9080.0
2023-02-14,8931.5
2023-02-15,8375.0
2023-02-16,8427.0
2023-02-17,8667.0
2023-02-20,8922.5
2023-02-21,8963.5
2023-02-22,8743.0
2023-02-24,8788.0
2023-02-27,8878.0
2023-02-28,8788.5
2023-03-01,8939.0
2023-03-02,8836.0
2023-03-03,8956.0
2023-03-06,9003.5
2023-03-07,8919.5
2023-03-09,8892.5
2023-03-10,8976.0
2023-03-13,9395.0
2023-03-14,9239.5
2023-03-15,9268.5
2023-03-16,9220.0
2023-03-17,9412.0
2023-03-20,9419.5
2023-03-21,9310.0
2023-03-22,9488.0
2023-03-23,9488.0
2023-03-24,9475.0
2023-03-27,9408.5
2023-03-28,9449.0
2023-03-29,9427.5
2023-03-30,9454.0
2023-03-31,9441.5
2023-04-03,9600.0
2023-04-04,9725.0
2023-04-05,9699.0
2023-04-06,9589.5
2023-04-07,9600.0
2023-04-10,9666.5
2023-04-11,9619.0
2023-04-12,9673.0
2023-04-13,9883.0
2023-04-14,9835.0
2023-04-17,10354.0
2023-04-18,10421.5
2023-04-19,10197.5
2023-04-20,10411.0
2023-04-21,10382.5
2023-04-24,10540.0
2023-04-25,10543.0
2023-04-26,10543.0
2023-04-27,10586.0
2023-04-28,10404.0
2023-05-02,10460.0
2023-05-03,10319.5
2023-05-04,10575.0
2023-05-05,10474.0
2023-05-08,10507.0
2023-05-10,10742.5
2023-05-11,10439.5
2023-05-12,10454.0
2023-05-15,10510.5
2023-05-16,10512.5
2023-05-17,10448.0
2023-05-18,10337.5
2023-05-19,10175.0
2023-05-22,9954.0
2023-05-23,10053.0
2023-05-24,10128.0
2023-05-25,10054.0
2023-05-26,10201.5
2023-05-29,10773.0
2023-05-30,10512.0
2023-05-31,10594.0
2023-06-01,10622.5
2023-06-02,10550.0
2023-06-05,10182.0
2023-06-06,10287.5
2023-06-07,10315.0
2023-06-08,10337.0
2023-06-09,10313.0
2023-06-13,10358.0
2023-06-14,10395.0
2023-06-15,10450.0
2023-06-16,10671.0
2023-06-19,10649.0
2023-06-20,10980.0
2023-06-21,11273.0
2023-06-22,11151.5
2023-06-23,10845.5
2023-06-26,10795.5
2023-06-27,10876.0
2023-06-28,10861.0
2023-06-29,10798.0
2023-06-30,10804.0
2023-07-03,10717.0
2023-07-04,10720.0
2023-07-05,10847.0
2023-07-06,10780.0
2023-07-07,10712.5
