Date,MGNT
2022-06-15,4257.0
2022-06-16,4393.0
2022-06-17,4319.0
2022-06-20,4370.0
2022-06-21,4365.0
2022-06-22,4458.0
2022-06-23,4405.0
2022-06-24,4359.0
2022-06-27,4360.0
2022-06-28,4327.0
2022-06-29,4316.0
2022-06-30,4238.0
2022-07-01,4155.0
2022-07-04,4198.0
2022-07-05,4314.0
2022-07-06,4306.0
2022-07-07,4420.0
2022-07-08,4439.0
2022-07-11,4385.0
2022-07-12,4300.0
2022-07-13,4255.5
2022-07-14,4228.0
2022-07-15,4380.0
2022-07-18,4382.0
2022-07-19,4355.0
2022-07-20,4315.0
2022-07-21,4251.0
2022-07-22,4341.0
2022-07-25,4345.0
2022-07-26,4512.0
2022-07-27,4630.0
2022-07-28,4765.5
2022-07-29,4889.0
2022-08-01,4800.0
2022-08-02,4813.0
2022-08-03,4910.0
2022-08-04,4883.0
2022-08-05,4799.5
2022-08-08,4880.0
2022-08-09,5032.5
2022-08-10,5024.0
2022-08-11,5002.5
2022-08-12,5134.0
2022-08-15,5159.5
2022-08-16,5177.0
2022-08-17,5270.0
2022-08-18,5350.0
2022-08-19,5245.0
2022-08-22,5302.0
2022-08-23,5319.0
2022-08-24,5393.0
2022-08-25,5440.0
2022-08-26,5459.5
2022-08-29,5450.0
2022-08-30,5450.0
2022-08-31,5490.5
2022-09-01,5399.0
2022-09-02,5485.5
2022-09-05,5600.0
2022-09-06,5510.0
2022-09-07,5490.0
2022-09-08,5433.0
2022-09-09,5499.0
2022-09-12,5575.0
2022-09-13,5594.0
2022-09-14,5558.0
2022-09-15,5555.5
2022-09-16,5582.0
2022-09-19,5505.0
2022-09-20,5222.5
2022-09-21,4904.5
2022-09-22,5015.0
2022-09-23,4889.0
2022-09-26,4474.0
2022-09-27,4481.5
2022-09-28,4750.0
2022-09-29,4537.5
2022-09-30,4722.0
2022-10-03,5008.0
2022-10-04,4906.5
2022-10-05,4784.5
2022-10-06,4719.5
2022-10-07,4546.0
2022-10-10,4645.0
2022-10-11,4838.0
2022-10-12,4772.0
2022-10-13,4772.5
2022-10-14,4810.0
2022-10-17,5060.5
2022-10-18,4918.5
2022-10-19,4961.0
2022-10-20,5011.5
2022-10-21,5164.0
2022-10-24,5196.5
2022-10-25,5315.0
2022-10-26,5270.0
2022-10-27,5247.0
2022-10-28,5269.0
2022-10-31,5237.0
2022-11-01,5249.5
2022-11-02,5170.0
2022-11-03,5183.0
2022-11-07,5208.5
2022-11-08,5165.0
2022-11-09,5027.5
2022-11-10,5031.5
2022-11-11,5005.0
2022-11-14,4974.5
2022-11-15,4888.0
2022-11-16,4945.5
2022-11-17,5011.5
2022-11-18,4918.5
2022-11-21,4856.0
2022-11-22,4869.0
2022-11-23,4879.5
2022-11-24,4893.0
2022-11-25,4849.0
2022-11-28,4844.0
2022-11-29,4819.0
2022-11-30,4827.0
2022-12-01,4777.0
2022-12-02,4667.0
2022-12-05,4587.0
2022-12-06,4475.5
2022-12-07,4492.5
2022-12-08,4464.0
2022-12-09,4446.0
2022-12-12,4560.0
2022-12-13,4529.5
2022-12-14,4454.5
2022-12-15,4382.5
2022-12-16,4386.5
2022-12-19,4260.0
2022-12-20,4326.0
2022-12-21,4288.5
2022-12-22,4347.0
2022-12-23,4315.5
2022-12-26,4442.0
