Date,ROSN
2022-09-06,375.7
2022-09-07,375.95
2022-09-08,374.4
2022-09-09,378.0
2022-09-12,379.4
2022-09-13,373.4
2022-09-14,375.75
2022-09-15,367.3
2022-09-16,359.05
2022-09-19,358.25
2022-09-20,330.9
2022-09-21,312.55
2022-09-22,315.5
2022-09-23,296.7
2022-09-26,257.9
2022-09-27,266.95
2022-09-28,263.0
2022-09-29,256.05
2022-09-30,264.05
2022-10-03,287.9
2022-10-04,283.75
2022-10-05,283.0
2022-10-06,286.8
2022-10-07,269.0
2022-10-10,277.85
2022-10-11,287.3
2022-10-12,292.0
2022-10-13,298.8
2022-10-14,299.55
2022-10-17,313.45
2022-10-18,305.45
2022-10-19,307.95
2022-10-20,310.85
2022-10-21,311.3
2022-10-24,313.6
2022-10-25,332.4
2022-10-26,340.65
2022-10-27,343.85
2022-10-28,341.8
2022-10-31,333.9
2022-11-01,332.35
2022-11-02,333.7
2022-11-03,335.0
2022-11-07,356.7
2022-11-08,351.95
2022-11-09,348.6
2022-11-10,358.25
2022-11-11,356.95
2022-11-14,350.85
2022-11-15,338.4
2022-11-16,342.5
2022-11-17,336.95
2022-11-18,336.9
2022-11-21,331.85
2022-11-22,334.95
2022-11-23,337.95
2022-11-24,334.75
2022-11-25,335.9
2022-11-28,333.2
2022-11-29,335.9
2022-11-30,336.25
2022-12-01,335.9
2022-12-02,335.0
2022-12-05,340.45
2022-12-06,336.0
2022-12-07,335.1
2022-12-08,333.7
2022-12-09,336.15
2022-12-12,335.2
2022-12-13,337.4
2022-12-14,333.5
2022-12-15,328.0
2022-12-16,330.9
2022-12-19,333.0
2022-12-20,344.15
2022-12-21,345.2
2022-12-22,344.7
2022-12-23,343.3
2022-12-26,352.4
2022-12-27,355.45
2022-12-28,355.1
2022-12-29,359.6
2022-12-30,365.4
2023-01-03,368.05
2023-01-04,365.8
2023-01-05,367.5
2023-01-06,367.3
2023-01-09,367.95
2023-01-10,366.75
2023-01-11,347.35
2023-01-12,346.85
2023-01-13,346.05
2023-01-16,345.8
2023-01-17,341.35
2023-01-18,344.15
2023-01-19,339.8
2023-01-20,336.55
2023-01-23,340.05
2023-01-24,336.75
2023-01-25,338.2
2023-01-26,335.0
2023-01-27,336.95
2023-01-30,337.65
2023-01-31,340.75
2023-02-01,343.0
2023-02-02,342.1
2023-02-03,341.85
2023-02-06,347.1
2023-02-07,355.25
2023-02-08,349.85
2023-02-09,350.2
2023-02-10,351.0
2023-02-13,349.4
2023-02-14,344.2
2023-02-15,339.6
2023-02-16,342.55
2023-02-17,345.1
2023-02-20,347.1
2023-02-21,352.65
2023-02-22,353.75
2023-02-24,352.45
2023-02-27,357.75
2023-02-28,358.4
2023-03-01,361.4
2023-03-02,355.05
2023-03-03,358.8
2023-03-06,365.35
2023-03-07,364.3
2023-03-09,364.0
2023-03-10,365.9
2023-03-13,363.5
2023-03-14,364.55
2023-03-15,357.95
2023-03-16,359.2
2023-03-17,365.2
2023-03-20,377.4
2023-03-21,371.8
2023-03-22,375.5
2023-03-23,374.45
2023-03-24,377.25
2023-03-27,383.25
2023-03-28,381.5
2023-03-29,385.45
2023-03-30,386.15
2023-03-31,380.9
2023-04-03,390.9
2023-04-04,390.0
2023-04-05,389.7
2023-04-06,389.8
2023-04-07,391.7
2023-04-10,393.5
2023-04-11,388.35
2023-04-12,390.9
2023-04-13,390.1
2023-04-14,392.4
2023-04-17,395.85
2023-04-18,397.0
2023-04-19,396.1
2023-04-20,396.5
2023-04-21,398.75
2023-04-24,400.4
2023-04-25,396.45
2023-04-26,395.75
2023-04-27,398.25
2023-04-28,393.8
2023-05-02,390.0
2023-05-03,378.0
2023-05-04,379.95
2023-05-05,378.65
2023-05-08,381.1
2023-05-10,392.1
2023-05-11,391.65
2023-05-12,398.95
2023-05-15,407.85
2023-05-16,410.75
2023-05-17,414.8
2023-05-18,414.1
2023-05-19,413.65
2023-05-22,424.5
2023-05-23,424.8
2023-05-24,436.0
2023-05-25,430.15
2023-05-26,432.9
2023-05-29,440.45
2023-05-30,434.5
2023-05-31,450.1
2023-06-01,451.5
2023-06-02,458.95
2023-06-05,458.6
2023-06-06,462.1
2023-06-07,459.85
2023-06-08,458.15
2023-06-09,463.5
2023-06-13,479.85
2023-06-14,478.4
2023-06-15,481.75
2023-06-16,480.4
2023-06-19,485.85
2023-06-20,483.4
2023-06-21,481.35
2023-06-22,475.45
2023-06-23,467.55
2023-06-26,474.4
2023-06-27,475.85
2023-06-28,477.05
2023-06-29,482.1
2023-06-30,482.35
2023-07-03,478.05
2023-07-04,473.4
2023-07-05,473.9
2023-07-06,476.75
2023-07-07,482.4
2023-07-10,477.45
2023-07-11,478.8
2023-07-12,487.05
2023-07-13,488.4
2023-07-14,487.65
2023-07-17,489.3
2023-07-18,490.15
2023-07-19,485.95
2023-07-20,475.1
2023-07-21,483.2
2023-07-24,481.6
2023-07-25,489.15
2023-07-26,486.9
2023-07-27,493.75
2023-07-28,500.65
2023-07-31,508.75
2023-08-01,516.7
2023-08-02,522.95
2023-08-03,526.7
2023-08-04,521.95
2023-08-07,524.6
2023-08-08,527.9
2023-08-09,533.2
2023-08-10,535.2
2023-08-11,549.0
2023-08-14,539.75
2023-08-15,546.3
2023-08-16,532.95
2023-08-17,544.45
2023-08-18,548.2
2023-08-21,547.45
2023-08-22,549.5
2023-08-23,534.5
2023-08-24,539.8
2023-08-25,538.85
2023-08-28,545.55
2023-08-29,558.3
2023-08-30,556.9
2023-08-31,556.15
2023-09-01,559.15
2023-09-04,567.25
2023-09-05,574.4
2023-09-06,578.8
2023-09-07,564.6
2023-09-08,557.95
2023-09-11,549.1
2023-09-12,562.0
2023-09-13,555.15
2023-09-14,556.3
2023-09-15,562.8
2023-09-18,557.1
2023-09-19,544.0
2023-09-20,529.35
2023-09-21,508.0
2023-09-22,513.9
2023-09-25,520.65
2023-09-26,517.85
2023-09-27,529.95
2023-09-28,535.7
2023-09-29,537.0
2023-10-02,535.55
2023-10-03,538.9
2023-10-04,533.95
2023-10-05,534.7
2023-10-06,534.2
2023-10-09,552.5
2023-10-10,549.0
2023-10-11,540.35
2023-10-12,546.05
2023-10-13,561.85
2023-10-16,568.65
2023-10-17,573.05
2023-10-18,586.8
2023-10-19,595.25
2023-10-20,602.9
2023-10-23,593.3
2023-10-24,586.2
2023-10-25,590.5
2023-10-26,583.0
2023-10-27,594.6
2023-10-30,587.2
2023-10-31,574.55
2023-11-01,579.5
2023-11-02,586.25
2023-11-03,581.5
2023-11-06,588.95
2023-11-07,583.95
2023-11-08,581.65
2023-11-09,583.1
2023-11-10,598.3
2023-11-13,598.3
2023-11-14,591.3
2023-11-15,585.0
2023-11-16,572.75
2023-11-17,583.3
2023-11-20,581.5
2023-11-21,583.4
2023-11-22,581.75
2023-11-23,580.8
2023-11-24,578.85
2023-11-27,578.0
2023-11-28,589.9
2023-11-29,593.45
2023-11-30,584.3
2023-12-01,575.15
2023-12-04,565.0
2023-12-05,574.35
2023-12-06,565.55
2023-12-07,560.6
2023-12-08,564.7
2023-12-11,555.0
2023-12-12,549.55
2023-12-13,555.85
2023-12-14,535.7
2023-12-15,561.5
2023-12-18,566.65
2023-12-19,574.0
2023-12-20,578.6
2023-12-21,577.1
2023-12-22,583.75
2023-12-25,584.45
2023-12-26,589.3
2023-12-27,594.55
2023-12-28,591.9
2023-12-29,593.2
2024-01-03,604.0
2024-01-04,601.15
2024-01-05,604.05
2024-01-08,602.3
2024-01-09,600.55
2024-01-10,601.0
2024-01-11,579.6
2024-01-12,584.2
2024-01-15,581.4
2024-01-16,578.4
2024-01-17,574.75
2024-01-18,573.95
2024-01-19,574.95
2024-01-22,577.95
2024-01-23,579.9
2024-01-24,575.75
2024-01-25,574.65
2024-01-26,573.9
2024-01-29,575.75
2024-01-30,573.95
2024-01-31,575.0
2024-02-01,576.5
